EmployeeID,EmployeeName,Role,StoreID,HireDate
E0001,Empleado 001,Gerente de Tienda,S1014,2023-02-01
E0002,Empleado 002,Supervisor,S1014,2024-06-14
E0003,Empleado 003,Supervisor,S1032,2020-02-07
E0004,Empleado 004,Analista Comercial,S1031,2024-12-05
E0005,Empleado 005,Gerente de Tienda,S1029,2021-06-28
E0006,Empleado 006,Vendedor,S1033,2022-05-25
E0007,Empleado 007,Analista Comercial,S1042,2019-03-07
E0008,Empleado 008,Supervisor,S1030,2018-02-28
E0009,Empleado 009,Vendedor,S1002,2018-03-03
E0010,Empleado 010,Gerente de Tienda,S1039,2022-03-04
E0011,Empleado 011,Gerente de Tienda,S1040,2024-02-22
E0012,Empleado 012,Gerente de Tienda,S1016,2019-05-14
E0013,Empleado 013,Supervisor,S1005,2019-08-14
E0014,Empleado 014,Analista Comercial,S1012,2024-07-12
E0015,Empleado 015,Analista Comercial,S1034,2018-04-25
E0016,Empleado 016,Analista Comercial,S1011,2021-06-30
E0017,Empleado 017,Vendedor,S1002,2020-09-13
E0018,Empleado 018,Analista Comercial,S1004,2019-01-18
E0019,Empleado 019,Supervisor,S1030,2024-08-26
E0020,Empleado 020,Supervisor,S1041,2022-12-18
E0021,Empleado 021,Gerente de Tienda,S1018,2019-11-19
E0022,Empleado 022,Gerente de Tienda,S1031,2019-08-04
E0023,Empleado 023,Analista Comercial,S1027,2020-09-28
E0024,Empleado 024,Vendedor,S1032,2020-09-04
E0025,Empleado 025,Analista Comercial,S1003,2021-01-25
E0026,Empleado 026,Gerente de Tienda,S1029,2024-02-08
E0027,Empleado 027,Supervisor,S1022,2021-03-24
E0028,Empleado 028,Vendedor,S1024,2023-08-22
E0029,Empleado 029,Analista Comercial,S1040,2025-05-16
E0030,Empleado 030,Vendedor,S1015,2021-12-20
E0031,Empleado 031,Vendedor,S1018,2021-11-07
E0032,Empleado 032,Vendedor,S1025,2021-11-10
E0033,Empleado 033,Gerente de Tienda,S1041,2019-01-07
E0034,Empleado 034,Vendedor,S1030,2018-02-21
E0035,Empleado 035,Vendedor,S1003,2024-05-16
E0036,Empleado 036,Supervisor,S1034,2021-10-22
E0037,Empleado 037,Supervisor,S1012,2018-12-16
E0038,Empleado 038,Gerente de Tienda,S1001,2025-01-06
E0039,Empleado 039,Analista Comercial,S1031,2022-08-20
E0040,Empleado 040,Gerente de Tienda,S1043,2024-09-17
E0041,Empleado 041,Analista Comercial,S1030,2023-10-29
E0042,Empleado 042,Gerente de Tienda,S1013,2022-11-26
E0043,Empleado 043,Vendedor,S1011,2021-12-26
E0044,Empleado 044,Analista Comercial,S1030,2021-04-29
E0045,Empleado 045,Analista Comercial,S1023,2021-10-30
E0046,Empleado 046,Gerente de Tienda,S1017,2018-07-10
E0047,Empleado 047,Gerente de Tienda,S1040,2022-07-16
E0048,Empleado 048,Vendedor,S1029,2025-02-03
